Time(s),CH1V
9.950000e-01,-5.673823e-01
9.975000e-01,-2.845683e-01
1.000000e+00,2.563426e-02
1.002500e+00,3.381092e-01
1.005000e+00,6.057341e-01
1.007500e+00,8.251203e-01
1.010000e+00,9.647334e-01
1.012500e+00,9.920022e-01
1.015000e+00,9.405742e-01
1.017500e+00,7.850942e-01
1.020000e+00,5.616017e-01
1.022500e+00,2.804221e-01
1.025000e+00,-2.623226e-02
1.027500e+00,-3.412188e-01
1.030000e+00,-6.121128e-01
1.032500e+00,-8.306618e-01
1.035000e+00,-9.555641e-01
1.037500e+00,-9.945935e-01
1.040000e+00,-9.433649e-01
1.042500e+00,-7.952602e-01
1.045000e+00,-5.645518e-01
1.047500e+00,-2.822161e-01
1.050000e+00,2.938173e-02
1.052500e+00,3.413782e-01
1.055000e+00,6.062524e-01
1.057500e+00,8.169875e-01
1.060000e+00,9.520558e-01
1.062500e+00,1.000015e+00
1.065000e+00,9.421290e-01
1.067500e+00,7.831407e-01
1.070000e+00,5.651498e-01
1.072500e+00,2.801032e-01
1.075000e+00,-2.706946e-02
1.077500e+00,-3.414580e-01
1.080000e+00,-6.193286e-01
1.082500e+00,-8.320970e-01
1.085000e+00,-9.571986e-01
1.087500e+00,-9.959490e-01
1.090000e+00,-9.473116e-01
1.092500e+00,-7.841772e-01
1.095000e+00,-5.663458e-01
1.097500e+00,-2.777511e-01
1.100000e+00,2.894320e-02
1.102500e+00,3.372321e-01
1.105000e+00,6.136277e-01
1.107500e+00,8.208147e-01
1.110000e+00,9.591122e-01
1.112500e+00,9.898095e-01
1.115000e+00,9.326806e-01
1.117500e+00,7.850145e-01
1.120000e+00,5.627977e-01
1.122500e+00,2.732461e-01
1.125000e+00,-2.934186e-02
1.127500e+00,-3.426540e-01
1.130000e+00,-6.182123e-01
1.132500e+00,-8.330538e-01
1.135000e+00,-9.552053e-01
1.137500e+00,-1.006872e+00
1.140000e+00,-9.463947e-01
1.142500e+00,-7.905958e-01
1.145000e+00,-5.675817e-01
1.147500e+00,-2.813789e-01
1.150000e+00,2.687013e-02
1.152500e+00,3.379098e-01
1.155000e+00,6.142257e-01
1.157500e+00,8.248811e-01
1.160000e+00,9.530525e-01
1.162500e+00,9.999356e-01
1.165000e+00,9.387802e-01
1.167500e+00,7.882835e-01
1.170000e+00,5.631964e-01
1.172500e+00,2.757976e-01
1.175000e+00,-3.871053e-02
1.177500e+00,-3.416573e-01
1.180000e+00,-6.145845e-01
1.182500e+00,-8.249609e-01
1.185000e+00,-9.569594e-01
1.187500e+00,-1.001570e+00
1.190000e+00,-9.368666e-01
1.192500e+00,-7.900377e-01
1.195000e+00,-5.643525e-01
1.197500e+00,-2.758375e-01
1.200000e+00,3.113586e-02
1.202500e+00,3.381490e-01
1.205000e+00,6.074483e-01
1.207500e+00,8.195390e-01
1.210000e+00,9.597899e-01
1.212500e+00,9.975436e-01
1.215000e+00,9.412918e-01
1.217500e+00,7.938250e-01
1.220000e+00,5.633957e-01
1.222500e+00,2.825350e-01
1.225000e+00,-2.802626e-02
1.227500e+00,-3.348002e-01
1.230000e+00,-6.080862e-01
1.232500e+00,-8.234858e-01
1.235000e+00,-9.654510e-01
1.237500e+00,-1.003085e+00
1.240000e+00,-9.410924e-01
1.242500e+00,-7.909945e-01
1.245000e+00,-5.656282e-01
1.247500e+00,-2.780700e-01
1.250000e+00,3.193320e-02
1.252500e+00,3.317704e-01
1.255000e+00,6.066111e-01
1.257500e+00,8.183430e-01
1.260000e+00,9.534113e-01
1.262500e+00,9.890521e-01
1.265000e+00,9.349928e-01
1.267500e+00,7.846557e-01
1.270000e+00,5.664654e-01
1.272500e+00,2.738042e-01
1.275000e+00,-3.723546e-02
1.277500e+00,-3.348800e-01
1.280000e+00,-6.074882e-01
1.282500e+00,-8.239244e-01
1.285000e+00,-9.616637e-01
1.287500e+00,-1.002766e+00
1.290000e+00,-9.465941e-01
1.292500e+00,-7.876457e-01
1.295000e+00,-5.573758e-01
1.297500e+00,-2.801431e-01
1.300000e+00,2.392000e-02
1.302500e+00,3.379098e-01
1.305000e+00,6.113154e-01
1.307500e+00,8.240838e-01
1.310000e+00,9.591919e-01
1.312500e+00,9.990985e-01
1.315000e+00,9.352320e-01
1.317500e+00,7.842570e-01
1.320000e+00,5.595286e-01
1.322500e+00,2.747611e-01
1.325000e+00,-2.858440e-02
1.327500e+00,-3.335245e-01
1.330000e+00,-6.083653e-01
1.332500e+00,-8.273928e-01
1.335000e+00,-9.652118e-01
1.337500e+00,-9.933178e-01
1.340000e+00,-9.440027e-01
1.342500e+00,-7.896390e-01
1.345000e+00,-5.698142e-01
1.347500e+00,-2.844088e-01
1.350000e+00,2.312266e-02
1.352500e+00,3.383085e-01
1.355000e+00,6.049368e-01
1.357500e+00,8.185822e-01
1.360000e+00,9.534910e-01
1.362500e+00,9.926799e-01
1.365000e+00,9.410924e-01
1.367500e+00,7.912337e-01
1.370000e+00,5.659870e-01
1.372500e+00,2.702163e-01
1.375000e+00,-3.548133e-02
1.377500e+00,-3.333651e-01
1.380000e+00,-6.101593e-01
1.382500e+00,-8.313395e-01
1.385000e+00,-9.554445e-01
1.387500e+00,-1.003085e+00
1.390000e+00,-9.345942e-01
1.392500e+00,-7.970144e-01
1.395000e+00,-5.627180e-01
1.397500e+00,-2.766348e-01
