Time(s),CH1V
4.500000e-01,1.961440e-02
4.550000e-01,6.096410e-01
4.600000e-01,9.571986e-01
4.650000e-01,9.418499e-01
4.700000e-01,5.550635e-01
4.750000e-01,-2.515586e-02
4.800000e-01,-6.051361e-01
4.850000e-01,-9.588730e-01
4.900000e-01,-9.456373e-01
4.950000e-01,-5.730833e-01
5.000000e-01,2.033200e-02
5.050000e-01,6.061327e-01
5.100000e-01,9.467137e-01
5.150000e-01,9.324812e-01
5.200000e-01,5.631964e-01
5.250000e-01,-2.212600e-02
5.300000e-01,-6.074882e-01
5.350000e-01,-9.547269e-01
5.400000e-01,-9.438034e-01
5.450000e-01,-5.705717e-01
5.500000e-01,1.730213e-02
5.550000e-01,6.106377e-01
5.600000e-01,9.565607e-01
5.650000e-01,9.326407e-01
5.700000e-01,5.650302e-01
5.750000e-01,-3.217240e-02
5.800000e-01,-6.056145e-01
5.850000e-01,-9.642151e-01
5.900000e-01,-9.366673e-01
5.950000e-01,-5.637146e-01
6.000000e-01,1.933533e-02
6.050000e-01,6.039799e-01
6.100000e-01,9.571986e-01
6.150000e-01,9.400160e-01
6.200000e-01,5.563393e-01
6.250000e-01,-3.631853e-02
6.300000e-01,-6.026245e-01
6.350000e-01,-9.619029e-01
6.400000e-01,-9.481488e-01
6.450000e-01,-5.628774e-01
6.500000e-01,3.049800e-02
6.550000e-01,5.961661e-01
6.600000e-01,9.600690e-01
6.650000e-01,9.328400e-01
6.700000e-01,5.572163e-01
6.750000e-01,-3.201293e-02
6.800000e-01,-6.076477e-01
6.850000e-01,-9.535308e-01
6.900000e-01,-9.381822e-01
6.950000e-01,-5.643923e-01
7.000000e-01,2.128880e-02
7.050000e-01,6.081660e-01
7.100000e-01,9.471921e-01
7.150000e-01,9.386606e-01
7.200000e-01,5.547047e-01
7.250000e-01,-3.635840e-02
7.300000e-01,-6.054949e-01
7.350000e-01,-9.627401e-01
7.400000e-01,-9.485077e-01
7.450000e-01,-5.626781e-01
7.500000e-01,1.698320e-02
7.550000e-01,5.978405e-01
7.600000e-01,9.562019e-01
7.650000e-01,9.413317e-01
7.700000e-01,5.543858e-01
7.750000e-01,-2.415920e-02
7.800000e-01,-6.141858e-01
7.850000e-01,-9.645340e-01
7.900000e-01,-9.376639e-01
7.950000e-01,-5.620402e-01
8.000000e-01,1.913600e-02
8.050000e-01,6.086444e-01
8.100000e-01,9.545275e-01
8.150000e-01,9.421688e-01
8.200000e-01,5.668641e-01
8.250000e-01,-2.511600e-02
8.300000e-01,-6.048172e-01
8.350000e-01,-9.505408e-01
8.400000e-01,-9.463150e-01
8.450000e-01,-5.637146e-01
8.500000e-01,2.830533e-02
8.550000e-01,6.078072e-01
8.600000e-01,9.568797e-01
8.650000e-01,9.289730e-01
8.700000e-01,5.641930e-01
8.750000e-01,-3.480360e-02
8.800000e-01,-6.029833e-01
8.850000e-01,-9.523747e-01
8.900000e-01,-9.483482e-01
8.950000e-01,-5.625186e-01
9.000000e-01,2.065093e-02
9.050000e-01,6.003521e-01
9.100000e-01,9.473515e-01
9.150000e-01,9.376639e-01
9.200000e-01,5.640336e-01
9.250000e-01,-2.483693e-02
9.300000e-01,-6.087639e-01
9.350000e-01,-9.535308e-01
9.400000e-01,-9.353517e-01
9.450000e-01,-5.735617e-01
9.500000e-01,1.829880e-02
9.550000e-01,6.076477e-01
9.600000e-01,9.563614e-01
